Startup Name,Industry Vertical,City,Investment Type,Amount in USD,Date
BYJU’S,Technology,Bangalore,Private Equity,200000000.0,2020-09-01
Mamaearth,E-Commerce,Bangalore,Series B,18358860.0,2020-09-01
https://www.wealthbucket.in/,Finance,New Delhi,Pre-series A,3000000.0,2020-02-01
Ecozen,Technology,Pune,Series A,6000000.0,2019-12-12
CarDekho,E-Commerce,Gurgaon,Series D,70000000.0,2019-06-12
Rivigo,Technology,Gurgaon,Series F,20000000.0,2019-12-13
Healthians,Food and Beverage,Bangalore,Series C,12000000.0,2019-12-17
Licious,E-Commerce,Bangalore,Series E,30000000.0,2019-12-16
InCred,Finance,Mumbai,Debt Funding,5900000.0,2019-12-16
Lenskart.com,E-Commerce,Faridabad,Series G,231000000.0,2019-12-20
Misters,Healthcare,Gurgaon,Series B,486000.0,2019-11-14
Healthians,Healthcare,Gurgaon,Series B,12000000.0,2019-11-18
Aye Finance,Finance,Gurgaon,Debt Funding,17411265.0,2019-11-20
Digital Mall Asia,E-Commerce,New Delhi,Seed Funding,220000000.0,2019-11-19
Medikabazaar,Healthcare,Mumbai,Series B,15800000.0,2019-11-18
Paytm,Finance,Noida,Funding Round,1000000000.0,2019-11-25
Udaan,E-Commerce,Bangalore,Series D,585000000.0,2019-02-10
FPL Technologies,Finance,Pune,Maiden Round,4500000.0,2019-05-09
Cashflo,Finance,Mumbai,Series A,3300000.0,2019-04-09
Atomberg Technology,Technology,Mumbai,Series A,10000000.0,2019-04-09
Vyapar App,Finance,Bangalore,Series A,5000000.0,2019-03-09
CarDekho,E-Commerce,Gurgaon,Series C,20000000.0,2019-01-08
Progcap,Finance,New Delhi,Series A,5000000.0,2019-01-08
Alteria Capital,Finance,Mumbai,Single Venture,140000000.0,2019-01-08
Meesho,E-Commerce,Bangalore,Series D,125000000.0,2019-12-08
Cars24,E-Commerce,Gurugram,Series D,11000000.0,2019-08-13
Lo! Foods,E-Commerce,Bangalore,Seed Funding,500000.0,2019-08-23
INDwealth,Finance,Gurgaon,Venture Capital,15000000.0,2019-08-22
HungerBox,Food and Beverage,Bangalore,Series C,6590000.0,2019-08-21
Grofers,E-Commerce,Gurgaon,Series F,70000000.0,2019-08-19
RenewBuy,Finance,Gurgaon,Series B,19000000.0,2019-02-07
Daalchini Technologies,Food and Beverage,New Delhi,Seed Funding,500000.0,2019-04-07
Indus OS,Technology,Andheri,Series B,5750000.0,2019-10-07
HealthAssure,Healthcare,Mumbai,Series A,2500000.0,2019-10-07
NoBroker,E-Commerce,Bangalore,Series C,51000000.0,2019-05-06
Bira91,Food and Beverage,New Delhi,Debt Funding,10000000.0,2019-04-06
Avail Finance,Finance,Bangalore,Series A,9000000.0,2019-03-06
BharatPe,Finance,New Delhi,Series B,75000000.0,2019-04-06
Agara Labs,Technology,Bangalore,Pre-series A,2500000.0,2019-03-06
OkCredit,Finance,Haryana,Series A,15500000.0,2019-10-06
GlowRoad,E-Commerce,Bangalore,Series B,11500000.0,2019-05-30
Bira91,Food and Beverage,New Delhi,Series B,5600000.0,2019-05-31
Kuvera,Finance,Bangalore,Series A,45000000.0,2019-04-16
Medlife,E-Commerce,Bangalore,Private Equity,17000000.0,2019-12-04
Kabadiwala,E-Commerce,Bhopal,Private Equity,430665.0,2019-10-04
Azah,Healthcare,Gurugram,Seed Funding,200000.0,2019-12-04
Setu,Finance,Bangalore,Seed Funding,3500000.0,2019-11-04
Craftsvilla,E-Commerce,Mumbai,Retained Earnings Funding,2443495.0,2019-10-04
My Healthcare,E-Commerce,Bangalore,Series A,3000000.0,2019-04-19
Increff,Technology,Bangalore,Series A,3000000.0,2019-04-17
Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,Debt-Funding,5000000.0,2019-04-01
UrbanClap Technologies Pvt. Ltd,Technology,New Delhi,Series D,50000000.0,2018-01-12
Nagpur Wholesale,E-Commerce,Nagpur,Seed Funding,143000.0,2018-04-12
ShopKirana,E-Commerce,Indore,Seed Funding,2000000.0,2018-06-12
BuildSupply,E-Commerce,Gurugram,Series A,3500000.0,2018-06-12
GoDesi,Food and Beverage,Bangalore,Seed & Angel Funding,138995.0,2018-01-11
Veritas Finance Ltd.,Finance,Chennai,Series D,27799000.0,2018-03-11
Meesho,E-Commerce,Bangalore,Series C,50000000.0,2018-06-11
A&R Bon Vivants,Food and Beverage,Jaipur,Private Equity,1000000.0,2018-08-11
MilkBAsket,Food and Beverage,New Delhi,Series B,1300000.0,2018-12-11
HealthifyMe,Healthcare,Bangalore,Series B (Extension),6000000.0,2018-11-20
Aavishkaar-Intellecap Group,Finance,Mumbai,Debt Funding,31000000.0,2018-11-22
Signzy,Finance,Mumbai,Series A,3400000.0,2018-11-23
Grover Zampa,Food and Beverage,Mumbai,Private Equity,8200000.0,2018-04-10
Blackbuck,Technology,Bangalore,Private Equity,14680000.0,2018-12-10
LetsTransport,Technology,Bangalore,Series C,12000000.0,2018-12-10
Netmeds,Technology,Chennai,Private Equity,35000000.0,2018-01-09
Udaan,E-Commerce,Bangalore,Private Equity,225000000.0,2018-03-09
Daily hunt,Technology,Bangalore,Private Equity,6390000.0,2018-03-09
3HCare,Healthcare,New Delhi,Seed & Angel Funding,1000000.0,2018-04-09
Nykaa,Technology,Mumbai,Private Equity,157200000.0,2018-05-09
Dream11,Technology,Mumbai,Private Equity,100000000.0,2018-06-09
MamaEarth,Healthcare,Gurugram,Private Equity,4000000.0,2018-10-09
AutoGrid,Technology,Bangalore,Private Equity,32000000.0,2018-11-09
Pharmeasy,Technology,Mumbai,Debt Funding,5500000.0,2018-11-09
Upwards,Finance,Mumbai,Private Equity,5000000.0,2018-11-09
Kissht,Finance,Mumbai,Private Equity,30000000.0,2018-12-09
dishq,Technology,Bangalore,Seed & Angel Funding,400000.0,2018-01-08
Samosa Labs,Technology,Hyderabad,Private Equity,7000000.0,2018-02-08
ZiffyHomes,Technology,Gurugram,Private Equity,120000.0,2018-03-08
